Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed
2012,1,1,0,30,0,0,0,-5,10.7961842,984.3084106,31.52079319,67.78860474,3.121759892
2012,1,1,1,30,0,0,0,-5,10.29303596,984.2003174,32.69696808,66.9736557,3.058262348
2012,1,1,2,30,0,0,0,-5,9.844070474,983.793335,33.53932256,67.32026672,2.979188204
2012,1,1,3,30,0,0,0,-5,9.457602569,983.6027222,34.16689826,70.37283325,2.963390112
2012,1,1,4,30,0,0,0,-5,9.112614587,983.454895,34.6583282,74.82842255,2.998622894
2012,1,1,5,30,0,0,0,7,10.55831435,986.1872559,82.67923661,19.85974884,2.951151371
2012,1,1,6,30,0,0,0,7,10.14785069,986.6332397,81.51444463,17.55443573,3.014178038
2012,1,1,7,30,0,0,0,6,10.82342995,987.4004517,75.61275551,17.26365662,3.005211115
2012,1,1,8,30,93,244,143,6,13.29061875,987.9567261,62.52717652,20.91773224,2.676492453
2012,1,1,9,30,163,358,300,6,17.02248916,988.381958,48.29576011,23.81361389,2.756730318
2012,1,1,10,30,196,513,464,6,20.63543027,987.9358521,38.85046212,23.94559479,3.049550772
2012,1,1,11,30,224,579,579,6,22.86033736,986.8540649,35.05843791,21.55323792,3.204927683
2012,1,1,12,30,216,655,643,7,23.98813609,985.9387207,34.10164908,16.57715607,3.25263381
2012,1,1,13,30,190,709,640,7,24.20534433,985.418335,33.86046059,13.72624969,3.376252651
2012,1,1,14,30,178,666,551,6,23.71641328,984.8815918,33.89840637,10.96304321,3.39172101
2012,1,1,15,30,153,575,405,6,22.49294739,984.6116943,34.57940737,8.725074768,3.388560295
2012,1,1,16,30,118,353,215,6,20.27009033,984.789917,39.49552974,5.303375244,3.340095282
2012,1,1,17,30,22,0,22,6,17.54062751,985.6130371,47.62682524,2.483757019,3.508606672
2012,1,1,18,30,0,0,0,5,16.32487894,986.1610718,48.75029123,3.572822571,3.673649311
2012,1,1,19,30,0,0,0,4,15.33107195,986.8395996,49.13135296,6.593765259,3.663199425
2012,1,1,20,30,0,0,0,4,14.42788416,987.0606689,50.07796114,13.26308441,3.577809572
